amphuren,amphurth,changwat,lat,long,pop,area,zip,location
Phibun Rak,พิบูลย์รักษ์,Udon Thani,17.54917,103.05750,24185,129.7,41130,POINT(103.05750 17.54917)
Phichai,พิชัย,Uttaradit,17.28694,100.08750,77536,105.2,53120,POINT(100.08750 17.28694)
Mueang Phichit,เมืองพิจิตร,Phichit,16.43833,100.35000,112779,153.0,66000,POINT(100.35000 16.43833)
Phimai,พิมาย,Nakhon Ratchasima,15.22056,102.48583,130296,145.3,30110,POINT(102.48583 15.22056)
Phipun,พิปูน,Nakhon Si Thammarat,8.56000,99.60833,27578,75.8,80270,POINT(99.60833 8.56000)
Mueang Phitsanulok,เมืองพิษณุโลก,Phitsanulok,16.82472,100.25944,264387,352.1,65000,POINT(100.25944 16.82472)
Phlapphla Chai,พลับพลาชัย,Buriram,14.73000,103.16833,42773,122.3,31250,POINT(103.16833 14.73000)
Pho Chai,โพธิ์ชัย,Roi Et,16.32361,103.76917,56917,144.3,45230,POINT(103.76917 16.32361)
Phon,พล,Khon Kaen,15.81583,102.59861,86911,99.6,40120,POINT(102.59861 15.81583)
Phon Charoen,พรเจริญ,Bueng Kan,18.03167,103.70833,42109,113.0,38180,POINT(103.70833 18.03167)
Phon Na Kaeo,โพนนาแก้ว,Sakon Nakhon,17.22111,104.29000,35579,101.1,47230,POINT(104.29000 17.22111)
Phon Phisai,โพนพิสัย,Nong Khai,18.02194,103.07722,96580,149.1,43120,POINT(103.07722 18.02194)
Phon Sai,โพนทราย,Roi Et,15.48778,103.99639,27420,127.0,45240,POINT(103.99639 15.48778)
Phon Sawan,โพนสวรรค์,Nakhon Phanom,17.45639,104.46861,54352,75.6,48190,POINT(104.46861 17.45639)
Phon Thong,โพนทอง,Roi Et,16.30000,103.97806,108348,150.7,45110,POINT(103.97806 16.30000)
Phop Phra,พบพระ,Tak,16.38611,98.69028,63336,62.9,63160,POINT(98.69028 16.38611)
Pho Prathap Chang,โพธิ์ประทับช้าง,Phichit,16.31111,100.27500,43684,115.4,66190,POINT(100.27500 16.31111)
