amphuren,amphurth,changwat,lat,long,pop,area,zip,location
Akat Amnuai,อากาศอำนวย,Sakon Nakhon,17.59667,103.97500,67328,115.1,47170,POINT(103.97500 17.59667)
Mueang Amnat Charoen,เมืองอำนาจเจริญ,Amnat Charoen,15.85833,104.62944,128992,216.2,37000,POINT(104.62944 15.85833)
Amphawa,อัมพวา,Samut Songkhram,13.42472,99.95722,57161,365.2,75110,POINT(99.95722 13.42472)
Mueang Ang Thong,เมืองอ่างทอง,Ang Thong,14.58861,100.45333,55974,544.5,14000,POINT(100.45333 14.58861)
Ao Luek,อ่าวลึก,Krabi,8.37750,98.72167,48474,62.7,81110,POINT(98.72167 8.37750)
Aranyaprathet,อรัญประเทศ,Sa Kaeo,13.70083,102.51167,83171,101.3,27120,POINT(102.51167 13.70083)
At Samat,อาจสามารถ,Roi Et,15.84361,103.87889,74711,164.4,45160,POINT(103.87889 15.84361)
Bacho,บาเจาะ,Narathiwat,6.51694,101.65167,48605,283.1,96170,POINT(101.65167 6.51694)
Bamnet Narong,บำเหน็จณรงค์,Chaiyaphum,15.50028,101.68639,54750,97.7,36160,POINT(101.68639 15.50028)
Ban Bueng,บ้านบึง,Chonburi,13.31139,101.11222,93401,144.5,20170,POINT(101.11222 13.31139)
Ban Chang,บ้านฉาง,Rayong,12.72833,101.06639,49189,206.3,21130,POINT(101.06639 12.72833)
Ban Dan,บ้านด่าน,Buriram,15.10722,103.17472,30548,123.4,31000,POINT(103.17472 15.10722)
Ban Dan Lan Hoi,บ้านด่านลานหอย,Sukhothai,17.00611,99.57472,42074,41.3,64140,POINT(99.57472 17.00611)
Ban Dung,บ้านดุง,Udon Thani,17.70111,103.25972,123227,133.2,41190,POINT(103.25972 17.70111)
Ban Fang,บ้านฝาง,Khon Kaen,16.45333,102.63833,52999,158.7,40270,POINT(102.63833 16.45333)
Bang Ban,บางบาล,Ayutthaya,14.37361,100.48556,34404,254.3,13250,POINT(100.48556 14.37361)
Bang Bo,บางบ่อ,Samut Prakan,13.57417,100.83611,90226,368,10560,POINT(100.83611 13.57417)
Bang Bon,บางบอน,Thung Saliam,18.694992,98.78977,93225,2683,10150,POINT(98.78977 18.694992)
Bang Bua Thong,บางบัวทอง,Nonthaburi,13.96861,100.40556,226741,1946.3,11110,POINT(100.40556 13.96861)
Bang Kaeo,บางแก้ว,Phatthalung,7.43000,100.17833,25628,215.4,93140,POINT(100.17833 7.43000)
Bang Kapi,บางกะปิ,Krung Thep Maha Nakhon,13.76583,100.64778,147694,5178,10240,POINT(100.64778 13.76583)
Bang Khae,บางแค,Krung Thep Maha Nakhon,13.69611,100.40944,193449,4352,10160,POINT(100.40944 13.69611)
Bang Khan,บางขัน,Nakhon Si Thammarat,8.02667,99.47333,40498,67.3,80360,POINT(99.47333 8.02667)
Bang Khen,บางเขน,Krung Thep Maha Nakhon,13.87389,100.59639,177062,4203,10220,POINT(100.59639 13.87389)
Bang Khla,บางคล้า,Chachoengsao,13.72806,101.20806,46539,204.2,24110,POINT(101.20806 13.72806)
Bang Kho Laem,บางคอแหลม,Krung Thep Maha Nakhon,13.69333,100.50250,106499,9752,10120,POINT(100.50250 13.69333)
Bang Khonthi,บางคนที,Samut Songkhram,13.46889,99.94056,33334,435.4,75120,POINT(99.94056 13.46889)
Bang Khun Thian,บางขุนเทียน,Krung Thep Maha Nakhon,13.66083,100.43583,161642,1339.34,10150,POINT(100.43583 13.66083)
Bang Klam,บางกล่ำ,Songkhla,7.08917,100.41083,27392,185.3,90110,POINT(100.41083 7.08917)
Bangkok Noi,บางกอกน้อย,Krung Thep Maha Nakhon,13.76278,100.47806,152867,12798,10700,POINT(100.47806 13.76278)
Bangkok Yai,บางกอกใหญ่,Krung Thep Maha Nakhon,13.72278,100.47639,85075,13766,10600,POINT(100.47639 13.72278)
Bang Krathum,บางกระทุ่ม,Phitsanulok,16.58528,100.30611,48667,111.0,65110,POINT(100.30611 16.58528)
Bang Kruai,บางกรวย,Nonthaburi,13.80500,100.47278,66200,1153,11130,POINT(100.47278 13.80500)
Bang Lamung,บางละมุง,Chonburi,12.97667,100.91333,212568,1228.7,20150,POINT(100.91333 12.97667)
Bang Len,บางเลน,Nakhon Pathom,14.02167,100.16556,89223,156,73130,POINT(100.16556 14.02167)
Bang Mun Nak,บางมูลนาก,Phichit,16.02778,100.37889,49302,130.5,66120,POINT(100.37889 16.02778)
Bang Na,บางนา,Krung Thep Maha Nakhon,13.66722,100.64194,101737,5415,10260,POINT(100.64194 13.66722)
Bang Nam Priao,บางน้ำเปรี้ยว,Chachoengsao,13.84722,101.05333,83275,160.6,24150,POINT(101.05333 13.84722)
Bang Pahan,บางปะหัน,Ayutthaya,14.46250,100.54472,38799,318.3,13220,POINT(100.54472 14.46250)
Bang Pa-in,บางปะอิน,Ayutthaya,14.22750,100.57556,73630,321.4,13160,POINT(100.57556 14.22750)
Bang Pakong,บางปะกง,Chachoengsao,13.54278,100.99389,83040,360.9,24130,POINT(100.99389 13.54278)
Bang Phae,บางแพ,Ratchaburi,13.69139,99.93028,44562,248.8,70160,POINT(99.93028 13.69139)
Bang Phlat,บางพลัด,Krung Thep Maha Nakhon,13.79389,100.50500,116271,10235,10700,POINT(100.50500 13.79389)
Bang Phli,บางพลี,Samut Prakan,13.60583,100.70611,212516,817.4,10540,POINT(100.70611 13.60583)
Bang Pla Ma,บางปลาม้า,Suphanburi,14.40222,100.15444,86947,180.7,72150,POINT(100.15444 14.40222)
Bang Rachan,บางระจัน,Singburi,14.89222,100.31722,37936,199.1,16130,POINT(100.31722 14.89222)
Bang Rak,บางรัก,Krung Thep Maha Nakhon,13.73083,100.52417,60485,10926,10500,POINT(100.52417 13.73083)
Bang Rakam,บางระกำ,Phitsanulok,16.75833,100.11806,94854,101.3,65140,POINT(100.11806 16.75833)
Bang Sai,บางไท,Ayutthaya,14.212778,100.498333,19973,132.5,13270,POINT(100.498333 14.212778)
Bang Sao Thong,บางเสาธง,Samut Prakan,13.59500,100.83056,54843,477.8,10540,POINT(100.83056 13.59500)
Bang Saphan,บางสะพาน,Prachuap Khiri Khan,11.21417,99.51194,71241,82.07,77140,POINT(99.51194 11.21417)
Bang Saphan Noi,บางสะพานน้อย,Prachuap Khiri Khan,11.07500,99.44167,35553,49.37,77170,POINT(99.44167 11.07500)
Bang Sue,บางซื่อ,Krung Thep Maha Nakhon,13.80972,100.53722,180598,15704,10800,POINT(100.53722 13.80972)
Bang Yai,บางใหญ่,Nonthaburi,13.87667,100.40389,34953,363,11140,POINT(100.40389 13.87667)
Ban Haet,บ้านแฮด,Khon Kaen,16.20250,102.75083,32135,156.6,40110,POINT(102.75083 16.20250)
Ban Hong,บ้านโฮ่ง,Lamphun,18.33111,98.81889,42697,71.5,51130,POINT(98.81889 18.33111)
Ban Kha,บ้านคา,Ratchaburi,13.43000,99.40833,22818,22.2,70180,POINT(99.40833 13.43000)
Ban Khai,บ้านค่าย,Rayong,12.78361,101.29667,58914,120.3,21120,POINT(101.29667 12.78361)
Ban Khok,บ้านโคก,Uttaradit,18.02500,101.07000,14395,13.5,53180,POINT(101.07000 18.02500)
Ban Khwao,บ้านเขว้า,Chaiyaphum,15.77833,101.90694,51277,94.2,36170,POINT(101.90694 15.77833)
Ban Kruat,บ้านกรวด,Buriram,14.42167,103.10000,72124,123.5,31180,POINT(103.10000 14.42167)
Ban Laem,บ้านแหลม,Phetchaburi,13.20056,99.98028,54068,290.7,76110,POINT(99.98028 13.20056)
Ban Lat,บ้านลาด,Phetchaburi,13.04944,99.91889,50351,168.9,76150,POINT(99.91889 13.04944)
Ban Luang,บ้านหลวง,Nan,18.85139,100.43833,12063,36,55190,POINT(100.43833 18.85139)
Ban Lueam,บ้านเหลื่อม,Nakhon Ratchasima,15.60917,102.12944,21480,101.3,30350,POINT(102.12944 15.60917)
Ban Mai Chaiyaphot,บ้านใหม่ไชยพจน์,Buriram,15.57278,102.83333,26988,151.6,31120,POINT(102.83333 15.57278)
Ban Mi,บ้านหมี่,Lopburi,15.04472,100.53694,86064,146.9,15110,POINT(100.53694 15.04472)
Ban Mo,บ้านหมอ,Saraburi,14.61556,100.72722,39489,194.0,18130,POINT(100.72722 14.61556)
Ban Muang,บ้านม่วง,Sakon Nakhon,17.85111,103.57000,67196,79.1,47140,POINT(103.57000 17.85111)
Ban Na,บ้านนา,Nakhon Nayok,14.26667,101.06139,67268,173.2,26110,POINT(101.06139 14.26667)
Ban Na Doem,บ้านนาเดิม,Surat Thani,8.88500,99.31000,21797,105.1,84240,POINT(99.31000 8.88500)
Bannang Sata,บันนังสตา,Yala,6.26667,101.26444,53161,84.5,95130,POINT(101.26444 6.26667)
Ban Na San,บ้านนาสาร,Surat Thani,8.80056,99.36417,68345,81.4,84120,POINT(99.36417 8.80056)
Ban Phaeng,บ้านแพง,Nakhon Phanom,17.96806,104.21583,34232,118.7,48140,POINT(104.21583 17.96806)
Ban Phaeo,บ้านแพ้ว,Samut Sakhon,13.59056,100.10778,90961,371,74120,POINT(100.10778 13.59056)
Ban Phai,บ้านไผ่,Khon Kaen,16.06000,102.73083,101031,211.5,40110,POINT(102.73083 16.06000)
Ban Pho,บ้านโพธิ์,Chachoengsao,13.59972,101.07861,45477,209.0,24140,POINT(101.07861 13.59972)
Banphot Phisai,บรรพตพิสัย,Nakhon Sawan,15.93583,99.98222,88300,97.0,60180,POINT(99.98222 15.93583)
Ban Phraek,บ้านแพรก,Ayutthaya,14.64778,100.58250,9250,236.6,13240,POINT(100.58250 14.64778)
Ban Phue,บ้านผือ,Udon Thani,17.68750,102.47278,107965,108.2,41190,POINT(102.47278 17.68750)
Ban Pong,บ้านโป่ง,Ratchaburi,13.81417,99.87111,157689,430.1,70110,POINT(99.87111 13.81417)
Ban Rai,บ้านไร่,Uthai Thani,15.08389,99.52111,66167,18.3,61140,POINT(99.52111 15.08389)
Ban Sang,บ้านสร้าง,Prachinburi,13.99500,101.22139,30807,85.3,25150,POINT(101.22139 13.99500)
Ban Tak,บ้านตาก,Tak,17.04333,99.07889,46492,46.8,63120,POINT(99.07889 17.04333)
Ban Ta Khun,บ้านตาขุน,Surat Thani,8.90500,98.88500,14116,10.8,84230,POINT(98.88500 8.90500)
Ban Thaen,บ้านแท่น,Chaiyaphum,16.40500,102.34194,43992,142.5,36190,POINT(102.34194 16.40500)
Ban Thi,บ้านธิ,Lamphun,18.65167,99.12500,17607,136.5,51180,POINT(99.12500 18.65167)
Benchalak,เบญจลักษ์,Sisaket,14.79500,104.67000,35807,108.1,33110,POINT(104.67000 14.79500)
Betong,เบตง,Yala,5.77361,101.06056,54620,41.1,95110,POINT(101.06056 5.77361)
Bo Kluea,บ่อเกลือ,Nan,19.14889,101.15750,14326,17,55000,POINT(101.15750 19.14889)
Bo Phloi,บ่อพลอย,Kanchanaburi,14.32583,99.51444,54288,56.1,71160,POINT(99.51444 14.32583)
Borabue,บรบือ,Maha Sarakham,16.03833,103.11917,108256,158.8,44130,POINT(103.11917 16.03833)
Bo Rai,บ่อไร่,Trat,12.57972,102.52500,39736,58.4,23140,POINT(102.52500 12.57972)
Bo Thong,บ่อทอง,Chonburi,13.27861,101.44028,45547,58.3,20270,POINT(101.44028 13.27861)
Buachet,บัวเชด,Surin,14.52667,103.94500,37877,79.1,32230,POINT(103.94500 14.52667)
Bua Lai,บัวลาย,Nakhon Ratchasima,15.66278,102.52722,25061,188.3,30120,POINT(102.52722 15.66278)
Bua Yai,บัวใหญ่,Nakhon Ratchasima,15.58306,102.42306,86776,319.5,30120,POINT(102.42306 15.58306)
Bueng Bun,บึงบูรพ์,Sisaket,15.33028,104.04500,10655,214.9,33220,POINT(104.04500 15.33028)
Bueng Kan,เมืองบึงกาฬ,Bueng Kan,18.35806,103.65306,89978,105.5,38000,POINT(103.65306 18.35806)
Bueng Khong Long,บึงโขงหลง,Bueng Kan,17.96667,104.04500,35808,87.2,38220,POINT(104.04500 17.96667)
Bueng Kum,บึงกุ่ม,Krung Thep Maha Nakhon,13.78528,100.66917,138340,5690,10240,POINT(100.66917 13.78528)
Bueng Na Rang,บึงนาราง,Phichit,16.17167,100.12667,28277,62.3,66130,POINT(100.12667 16.17167)
Bueng Samakkhi,บึงสามัคคี,Kamphaeng Phet,16.18833,99.97750,26663,70.7,62210,POINT(99.97750 16.18833)
Bueng Sam Phan,บึงสามพัน,Phetchabun,15.79667,101.00833,66613,136.0,67160,POINT(101.00833 15.79667)
Bung Khla,บุ่งคล้า,Bueng Kan,18.30167,103.97333,13037,52.0,38000,POINT(103.97333 18.30167)
Buntharik,บุณฑริก,Ubon Ratchathani,14.75667,105.41139,88052,62.8,34230,POINT(105.41139 14.75667)
Buri Ram,บุรีรัมย์,Buriram,14.994167,103.102222,28283,4695.84,31000,POINT(103.102222 14.994167)
Cha-am,ชะอำ,Phetchaburi,12.79972,99.96694,20573,73.37,76121,POINT(99.96694 12.79972)
Mueang Chachoengsao,เมืองฉะเชิงเทรา,Chachoengsao,13.68861,101.07083,141924,374.8,24000,POINT(101.07083 13.68861)
Chae Hom,แจ้ห่ม,Lampang,18.71278,99.55750,42457,31.2,52120,POINT(99.55750 18.71278)
Chai Badan,ชัยบาดาล,Lopburi,15.20611,101.13667,90224,70.7,15130,POINT(101.13667 15.20611)
Chai Buri,ชัยบุรี,Surat Thani,8.46278,99.07667,23347,53.0,84210,POINT(99.07667 8.46278)
Chai Nat,ชัยนาท,Chainat,15.187222,100.128333,14469,286.6,17000,POINT(100.128333 15.187222)
Chai Prakan,ไชยปราการ,Chiang Mai,19.73222,99.14028,47898,93.8,50320,POINT(99.14028 19.73222)
Chai Wan,ไชยวาน,Udon Thani,17.28667,103.22333,38209,117.2,41290,POINT(103.22333 17.28667)
Chaiya,ไชยา,Surat Thani,9.38667,99.20000,47750,47.52,84110,POINT(99.20000 9.38667)
Mueang Chaiyaphum,เมืองชัยภูมิ,Chaiyaphum,15.80694,102.03167,184921,158.1,36000,POINT(102.03167 15.80694)
Chaiyo,ไชโย,Ang Thong,14.64917,100.47861,22882,316.5,14140,POINT(100.47861 14.64917)
Chakkarat,จักราช,Nakhon Ratchasima,15.01333,102.41333,66615,132.8,30230,POINT(102.41333 15.01333)
Chaloem Phra Kiat,เฉลิมพระเกียรติ,Buriram,14.558333,102.925,39796,113.8,31110,POINT(102.925 14.558333)
Chaloem Phra Kiat,เฉลิมพระเกียรติ,Nakhon Ratchasima,15.005,102.271667,33151,130.5,30230,POINT(102.271667 15.005)
Chaloem Phra Kiat,เฉลิมพระเกียรติ,Nakhon Si Thammarat,8.176667,100.035,33466,269.7,80190,POINT(100.035 8.176667)
Chaloem Phra Kiat,เฉลิมพระเกียรติ,Nan,19.579167,101.081111,9347,18,55130,POINT(101.081111 19.579167)
Chaloem Phra Kiat,เฉลิมพระเกียรติ,Saraburi,14.611389,100.908611,25616,170.1,18000,POINT(100.908611 14.611389)
Chamni,ชำนิ,Buriram,14.78833,102.84167,33646,138.4,31110,POINT(102.84167 14.78833)
Chana,จะนะ,Songkhla,6.91417,100.74056,97095,193.0,90130,POINT(100.74056 6.91417)
Chanae,จะแนะ,Narathiwat,6.09833,101.69333,31336,51.6,96220,POINT(101.69333 6.09833)
Changhan,จังหาร,Roi Et,16.13833,103.61500,47832,47.4,45000,POINT(103.61500 16.13833)
Chang Klang,ช้างกลาง,Nakhon Si Thammarat,8.37417,99.56806,29594,127.3,80250,POINT(99.56806 8.37417)
Mueang Chanthaburi,เมืองจันทบุรี,Chanthaburi,12.61056,102.10417,119203,471.0,22000,POINT(102.10417 12.61056)
Chanuman,ชานุมาน,Amnat Charoen,16.23333,105.00000,37677,67.8,37210,POINT(105.00000 16.23333)
Charoen Sin,เจริญศิลป์,Sakon Nakhon,17.59667,103.56556,42375,105.7,47290,POINT(103.56556 17.59667)
Chat Trakan,ชาติตระการ,Phitsanulok,17.27667,100.59917,38646,24.4,65170,POINT(100.59917 17.27667)
Chatturat,จัตุรัส,Chaiyaphum,15.56556,101.84556,74548,102.0,36130,POINT(101.84556 15.56556)
Chatuchak,จตุจักร,Krung Thep Maha Nakhon,13.82861,100.55972,176501,5363,10900,POINT(100.55972 13.82861)
Chaturaphak Phiman,จตุรพักตรพิมาน,Roi Et,15.84611,103.55694,81749,148.9,45180,POINT(103.55694 15.84611)
Cha-uat,ชะอวด,Nakhon Si Thammarat,7.96500,99.99833,84227,101.1,80180,POINT(99.99833 7.96500)
Chawang,ฉวาง,Nakhon Si Thammarat,8.42611,99.50472,65787,124.5,80150,POINT(99.50472 8.42611)
Chiang Dao,เชียงดาว,Chiang Mai,19.36611,98.96417,87922,46.7,50170,POINT(98.96417 19.36611)
Chiang Kham,เชียงคำ,Phayao,19.52333,100.30167,77211,98.5,56160,POINT(100.30167 19.52333)
Chiang Khan,เชียงคาน,Loei,17.89806,101.66639,59016,68.1,42110,POINT(101.66639 17.89806)
Chiang Khong,เชียงของ,Chiang Rai,20.26000,100.40667,62410,76.1,57140,POINT(100.40667 20.26000)
Chiang Khwan,เชียงขวัญ,Roi Et,16.16556,103.75194,27859,219.0,45000,POINT(103.75194 16.16556)
Chiang Klang,เชียงกลาง,Nan,19.29167,100.86167,28234,100,55160,POINT(100.86167 19.29167)
Mueang Chiang Mai,เมืองเชียงใหม่,Chiang Mai,18.79028,98.98444,242974,1594.3,50000,POINT(98.98444 18.79028)
Chiang Muan,เชียงม่วน,Phayao,18.88667,100.30333,19122,26.5,56160,POINT(100.30333 18.88667)
Mueang Chiang Rai,เมืองเชียงราย,Chiang Rai,19.90861,99.83250,227142,186.8,57000,POINT(99.83250 19.90861)
Chiang Saen,เชียงแสน,Chiang Rai,20.27500,100.08833,51948,99.2,57150,POINT(100.08833 20.27500)
Chiang Yuen,เชียงยืน,Maha Sarakham,16.40806,103.10528,61704,214.5,44160,POINT(103.10528 16.40806)
Chian Yai,เชียรใหญ่,Nakhon Si Thammarat,8.16833,100.14500,45827,196.9,80190,POINT(100.14500 8.16833)
Cho-airong,เจาะไอร้อง,Narathiwat,6.20167,101.84167,35989,221.2,96130,POINT(101.84167 6.20167)
Chok Chai,โชคชัย,Nakhon Ratchasima,14.73222,102.16306,78449,146.2,30190,POINT(102.16306 14.73222)
Chom Bueng,จอมบึง,Ratchaburi,13.61972,99.59167,58057,75.2,70150,POINT(99.59167 13.61972)
Chom Phra,จอมพระ,Surin,15.11750,103.61139,60568,192.9,32180,POINT(103.61139 15.11750)
Chom Thong,จอมทอง,Krung Thep Maha Nakhon,13.677222,100.484722,167794,6389,10150,POINT(100.484722 13.677222)
Chom Thong,จอมทอง,Chiang Mai,18.417222,98.675833,76376,107.2,50160,POINT(98.675833 18.417222)
Chon Buri,เมืองชลบุรี,Chonburi,13.361944,100.979167,245398,1072,20000,POINT(100.979167 13.361944)
Chon Daen,ชนแดน,Phetchabun,16.18917,100.85972,86086,75.7,67150,POINT(100.85972 16.18917)
Chonnabot,ชนบท,Khon Kaen,16.08833,102.62167,48756,120.6,40180,POINT(102.62167 16.08833)
Chuen Chom,ชื่นชม,Maha Sarakham,16.53139,103.17167,24586,217.6,44160,POINT(103.17167 16.53139)
Chulabhorn,จุฬาภรณ์,Nakhon Si Thammarat,8.07500,99.87000,30668,159.3,80130,POINT(99.87000 8.07500)
Chum Phae,ชุมแพ,Khon Kaen,16.54417,102.09972,122091,239.0,40130,POINT(102.09972 16.54417)
Mueang Chumphon,เมืองชุมพร,Chumphon,10.49306,99.18028,141.765,189.4,86000,POINT(99.18028 10.49306)
Chumphon Buri,ชุมพลบุรี,Surin,15.35083,103.38889,70391,135.4,32190,POINT(103.38889 15.35083)
Chum Phuang,ชุมพวง,Nakhon Ratchasima,15.34889,102.74194,81440,150.7,30270,POINT(102.74194 15.34889)
Chum Saeng,ชุมแสง,Nakhon Sawan,15.88111,100.30250,67489,94.2,60150,POINT(100.30250 15.88111)
Chum Ta Bong,ชุมตาบง,Nakhon Sawan,15.63167,99.55278,18369,48.5,60150,POINT(99.55278 15.63167)
Chun,จุน,Phayao,19.33722,100.13500,52066,91.2,56150,POINT(100.13500 19.33722)
Damnoen Saduak,ดำเนินสะดวก,Ratchaburi,13.51750,99.95472,98994,470.7,70130,POINT(99.95472 13.51750)
Dan Chang,ด่านช้าง,Suphanburi,14.84167,99.69722,64416,54.0,72180,POINT(99.69722 14.84167)
Dan Khun Thot,ด่านขุนทด,Nakhon Ratchasima,15.20972,101.76583,126253,88.4,36220,POINT(101.76583 15.20972)
Dan Makham Tia,ด่านมะขามเตี้ย,Kanchanaburi,13.85361,99.41056,32248,40.0,71260,POINT(99.41056 13.85361)
Dan Sai,ด่านซ้าย,Loei,17.28000,101.14667,49270,28.4,42120,POINT(101.14667 17.28000)
Den Chai,เด่นชัย,Phrae,17.97861,100.05861,37440,141.0,54140,POINT(100.05861 17.97861)
Det Udom,เดชอุดม,Ubon Ratchathani,14.90306,105.07639,169896,142.9,34160,POINT(105.07639 14.90306)
Din Daeng,ดินแดง,Krung Thep Maha Nakhon,13.76972,100.55278,186319,22180,10400,POINT(100.55278 13.76972)
Doem Bang Nang Buat,เดิมบางนางบวช,Suphanburi,14.85361,100.09778,74619,135.1,72120,POINT(100.09778 14.85361)
Doi Lo,ดอยหล่อ,Chiang Mai,18.47444,98.78361,27623,106.2,50160,POINT(98.78361 18.47444)
Doi Luang,ดอยหลวง,Chiang Rai,20.11833,100.10000,19356,86.8,57110,POINT(100.10000 20.11833)
Doi Saket,ดอยสะเก็ด,Chiang Mai,18.87028,99.13667,64116,95.5,50220,POINT(99.13667 18.87028)
Doi Tao,ดอยเต่า,Chiang Mai,17.95361,98.68500,27284,33.9,50260,POINT(98.68500 17.95361)
Dok Khamtai,ดอกคำใต้,Phayao,19.16250,99.99333,73205,88.9,56120,POINT(99.99333 19.16250)
Don Chan,ดอนจาน,Kalasin,16.45833,103.69500,25164,106.4,46000,POINT(103.69500 16.45833)
Don Chedi,ดอนเจดีย์,Suphanburi,14.63500,100.02167,45336,179.8,72170,POINT(100.02167 14.63500)
Dong Charoen,ดงเจริญ,Phichit,16.02833,100.62667,18214,82.7,66210,POINT(100.62667 16.02833)
Dong Luang,ดงหลวง,Mukdahan,16.81528,104.53778,35808,33.3,49140,POINT(104.53778 16.81528)
Don Mot Daeng,ดอนมดแดง,Ubon Ratchathani,15.37889,105.02722,26301,112.4,34000,POINT(105.02722 15.37889)
Don Mueang,ดอนเมือง,Krung Thep Maha Nakhon,13.91361,100.58972,157989,4293,10210,POINT(100.58972 13.91361)
Don Phut,ดอนพุด,Saraburi,14.59222,100.62833,6957,118.5,18210,POINT(100.62833 14.59222)
Don Sak,ดอนสัก,Surat Thani,9.31389,99.69028,35468,77.0,84220,POINT(99.69028 9.31389)
Don Tan,ดอนตาล,Mukdahan,16.31667,104.92000,42215,81.3,49120,POINT(104.92000 16.31667)
Don Tum,ดอนตูม,Nakhon Pathom,13.96056,100.08139,45386,265,73150,POINT(100.08139 13.96056)
Dusit,ดุสิต,Krung Thep Maha Nakhon,13.77694,100.52056,175658,16416.6,10300,POINT(100.52056 13.77694)
Erawan,เอราวัณ,Loei,17.31000,101.94000,37079,141.5,42220,POINT(101.94000 17.31000)
Fak Tha,ฟากท่า,Uttaradit,17.99222,100.87861,15128,24.2,53160,POINT(100.87861 17.99222)
Fang,ฝาง,Chiang Mai,19.91889,99.21361,121033,136.3,50110,POINT(99.21361 19.91889)
Fao Rai,เฝ้าไร่,Nong Khai,18.01889,103.30389,50481,197.3,43120,POINT(103.30389 18.01889)
Galyani Vadhana,กัลยาณิวัฒนา,Chiang Mai,19.06694,98.29444,10593,16.4,50270,POINT(98.29444 19.06694)
Hang Chat,ห้างฉัตร,Lampang,18.32194,99.31778,51495,75.2,52190,POINT(99.31778 18.32194)
Hang Dong,หางดง,Chiang Mai,18.68694,98.91889,67570,243.8,50230,POINT(98.91889 18.68694)
Hankha,หันคา,Chainat,14.98111,100.01472,56394,106.5,17130,POINT(100.01472 14.98111)
Hat Samran,หาดสำราญ,Trang,7.24000,99.57667,15550,69.4,92120,POINT(99.57667 7.24000)
Hat Yai,หาดใหญ่,Songkhla,7.00194,100.45722,359813,422,90110,POINT(100.45722 7.00194)
Hot,ฮอด,Chiang Mai,18.19278,98.61111,48287,33.8,50240,POINT(98.61111 18.19278)
Hua Hin,หัวหิน,Prachuap Khiri Khan,12.56861,99.95778,85099,101.44,77110,POINT(99.95778 12.56861)
Huai Khot,ห้วยคด,Uthai Thani,15.29139,99.61667,19547,46.1,61170,POINT(99.61667 15.29139)
Huai Khwang,ห้วยขวาง,Krung Thep Maha Nakhon,13.77667,100.57944,90185,6012,10310,POINT(100.57944 13.77667)
Huai Krachao,ห้วยกระเจา,Kanchanaburi,14.32722,99.66667,32602,52.5,71170,POINT(99.66667 14.32722)
Huai Mek,ห้วยเม็ก,Kalasin,16.59000,103.23556,49716,170.8,46240,POINT(103.23556 16.59000)
Huai Phueng,ห้วยผึ้ง,Kalasin,16.64583,103.90889,30343,118.1,46170,POINT(103.90889 16.64583)
Huai Rat,ห้วยราช,Buriram,14.96000,103.18833,35941,244.3,31000,POINT(103.18833 14.96000)
Huai Thalaeng,ห้วยแถลง,Nakhon Ratchasima,14.99833,102.63833,78581,158.7,30240,POINT(102.63833 14.99833)
Huai Thap Than,ห้วยทับทัน,Sisaket,15.05000,104.02333,41132,211.4,33210,POINT(104.02333 15.05000)
Huai Yot,ห้วยยอด,Trang,7.78500,99.63500,90261,119.8,92130,POINT(99.63500 7.78500)
Hua Sai,หัวไทร,Nakhon Si Thammarat,8.04000,100.27500,68863,164.8,80170,POINT(100.27500 8.04000)
Hua Taphan,หัวตะพาน,Amnat Charoen,15.69667,104.49167,50524,94.8,37240,POINT(104.49167 15.69667)
In Buri,อินทร์บุรี,Singburi,15.00778,100.32694,57771,183.8,16110,POINT(100.32694 15.00778)
Kabang,กาบัง,Yala,6.42750,101.01917,17702,39.3,95120,POINT(101.01917 6.42750)
Kabin Buri,กบินทร์บุรี,Prachinburi,13.94667,101.71333,134794,103.0,25110,POINT(101.71333 13.94667)
Kae Dam,แกดำ,Maha Sarakham,16.02500,103.38500,29218,195.4,44190,POINT(103.38500 16.02500)
Kaeng Hang Maeo,แก่งหางแมว,Chanthaburi,13.00833,101.90500,36453,29.1,22160,POINT(101.90500 13.00833)
Kaeng Khoi,แก่งคอย,Saraburi,14.58639,100.99778,88921,111.0,18110,POINT(100.99778 14.58639)
Kaeng Khro,แก้งคร้อ,Chaiyaphum,16.10861,102.25806,87663,150.6,36150,POINT(102.25806 16.10861)
Kaeng Krachan,แก่งกระจาน,Phetchaburi,12.90750,99.64806,27668,11.1,76170,POINT(99.64806 12.90750)
Kaeng Sanam Nang,แก้งสนามนาง,Nakhon Ratchasima,15.75000,102.25472,37884,353.2,30440,POINT(102.25472 15.75000)
Mueang Kalasin,เมืองกาฬสินธุ์,Kalasin,16.43250,103.50611,145579,224.0,46000,POINT(103.50611 16.43250)
Kamalasai,กมลาไสย,Kalasin,16.33889,103.57528,69535,213.8,46130,POINT(103.57528 16.33889)
Mueang Kamphaeng Phet,เมืองกำแพงเพชร,Kamphaeng Phet,16.48333,99.52000,211369,108.1,62000,POINT(99.52000 16.48333)
Kamphaeng Saen,กำแพงแสน,Nakhon Pathom,13.98389,99.99389,124715,307.9,73140,POINT(99.99389 13.98389)
Mueang Kanchanaburi,เมืองกาญจนบุรี,Kanchanaburi,14.00333,99.55000,153597,124.2,71000,POINT(99.55000 14.00333)
Kanchanadit,กาญจนดิษฐ์,Surat Thani,9.16556,99.47111,98432,109.8,84160,POINT(99.47111 9.16556)
Kantang,กันตัง,Trang,7.40556,99.51528,84285,135.5,92110,POINT(99.51528 7.40556)
